DATE,COST
2012-11-25,null
2012-11-26,2675
2012-11-27,2691
2012-11-28,2663
2012-11-29,2710
2012-11-30,2634
2012-12-01,null
2012-12-02,null
2012-12-03,2600
2012-12-04,2600
2012-12-05,2600
2012-12-06,2710
2012-12-07,2925
2012-12-08,null
2012-12-09,null
2012-12-10,3083
2012-12-11,3221
2012-12-12,3339
2012-12-13,3331
2012-12-14,3333
2012-12-15,null
2012-12-16,null
2012-12-17,3438
2012-12-18,3416
2012-12-19,null
2012-12-20,3543
2012-12-21,3576
2012-12-22,null
2012-12-23,null
2012-12-24,3617
2012-12-25,null
2012-12-26,3624
2012-12-27,3634
2012-12-28,3624
2012-12-29,null
2012-12-30,null
2012-12-31,3730
2013-01-01,null
2013-01-02,3853
2013-01-03,3958
2013-01-04,4002
2013-01-05,null
2013-01-06,null
2013-01-07,4007
2013-01-08,3979
2013-01-09,3964
2013-01-10,3862
2013-01-11,3956
2013-01-12,null
2013-01-13,null
2013-01-14,3912
2013-01-15,3939
2013-01-16,3883
2013-01-17,3888
2013-01-18,3812
2013-01-19,null
2013-01-20,null
2013-01-21,3793
2013-01-22,3830
2013-01-23,3822
2013-01-24,3719
2013-01-25,3719
2013-01-26,null
2013-01-27,null
2013-01-28,3719
2013-01-29,3721
2013-01-30,3721
2013-01-31,3702
2013-02-01,3702
2013-02-02,null
2013-02-03,null
2013-02-04,3702
2013-02-05,3685
2013-02-06,3771
2013-02-07,3792
2013-02-08,3814
2013-02-09,null
2013-02-10,null
2013-02-11,null
2013-02-12,3957
2013-02-13,3991
2013-02-14,4014
2013-02-15,3982
2013-02-16,null
2013-02-17,null
2013-02-18,3973
2013-02-19,4032
2013-02-20,4012
2013-02-21,4044
2013-02-22,3949
2013-02-23,null
2013-02-24,null
2013-02-25,4001
2013-02-26,4015
2013-02-27,3997
2013-02-28,3996
2013-03-01,null
2013-03-02,null
2013-03-03,null
2013-03-04,3949
2013-03-05,3986
2013-03-06,3986
2013-03-07,4069
2013-03-08,4076
2013-03-09,null
2013-03-10,null
2013-03-11,4028
2013-03-12,4085
2013-03-13,4085
2013-03-14,4159
2013-03-15,4133
2013-03-16,null
2013-03-17,null
2013-03-18,4080
2013-03-19,4080
2013-03-20,4016
2013-03-21,3998
2013-03-22,3986
2013-03-23,null
2013-03-24,null
2013-03-25,3986
2013-03-26,3986
2013-03-27,3996
2013-03-28,3999
2013-03-29,4023
2013-03-30,null
2013-03-31,null
2013-04-01,4161
2013-04-02,4161
